Feature,Mean |SHAP|
numerical__PointFinger_LeftWrist_gyro_y_spectral_power,0.0
numerical__Relaxed_LeftWrist_gyro_z_spectral_entropy,0.0
numerical__Relaxed_LeftWrist_gyro_y_dominant_frequency,0.0
numerical__Q27,0.0
numerical__RelaxedTask_RightWrist_gyro_x_spectral_entropy,0.0
numerical__RelaxedTask_RightWrist_acc_z_spectral_centroid,0.0
numerical__RelaxedTask_RightWrist_acc_y_spectral_entropy,0.0
numerical__RelaxedTask_RightWrist_acc_y_spectral_centroid,0.0
numerical__RelaxedTask_RightWrist_acc_x_spectral_entropy,0.0
numerical__RelaxedTask_RightWrist_acc_x_spectral_centroid,0.0
numerical__RelaxedTask_LeftWrist_gyro_z_spectral_centroid,0.0
numerical__RelaxedTask_LeftWrist_gyro_y_dominant_frequency,0.0
numerical__Q26,0.0
numerical__RelaxedTask_LeftWrist_acc_y_spectral_entropy,0.0
numerical__DrinkGlas_Left_AccZ_RMS,0.0
numerical__PointFinger_Left_AccX_IQR,0.0
numerical__PointFinger_Left_AccZ_IQR,0.0
numerical__TouchNose_Right_AccZ_Median,0.0
numerical__TouchNose_Left_AccZ_Median,0.0
numerical__TouchIndex_Left_AccZ_Median,0.0
numerical__HoldWeight_Left_AccX_IQR,0.0
numerical__PointFinger_Left_AccZ_Median,0.0
numerical__StretchHold_Left_AccY_RMS,0.0
numerical__LiftHold_Right_AccY_RMS,0.0
numerical__LiftHold_Left_AccY_RMS,0.0
numerical__LiftHold_Right_AccY_IQR,0.0
numerical__LiftHold_Left_AccY_IQR,0.0
numerical__HoldWeight_Right_AccY_IQR,0.0
numerical__HoldWeight_Left_AccY_IQR,0.0
numerical__DrinkGlas_Right_AccY_IQR,0.0
numerical__DrinkGlas_Right_AccX_IQR,0.0
numerical__DrinkGlas_Left_AccX_IQR,0.0
numerical__CrossArms_Right_AccX_IQR,0.0
numerical__StretchHold_RightWrist_gyro_x_dominant_frequency,0.0
numerical__StretchHold_RightWrist_acc_z_dominant_frequency,0.0
numerical__StretchHold_RightWrist_acc_x_spectral_entropy,0.0
numerical__StretchHold_RightWrist_acc_x_spectral_centroid,0.0
numerical__StretchHold_LeftWrist_gyro_y_dominant_frequency,0.0
numerical__StretchHold_LeftWrist_gyro_x_spectral_entropy,0.0
numerical__StretchHold_LeftWrist_gyro_x_spectral_centroid,0.0
numerical__StretchHold_LeftWrist_acc_y_spectral_entropy,0.0
numerical__StretchHold_LeftWrist_acc_x_spectral_entropy,0.0
numerical__StretchHold_LeftWrist_acc_x_spectral_centroid,0.0
numerical__Relaxed_RightWrist_gyro_y_spectral_centroid,0.0
numerical__Relaxed_RightWrist_gyro_y_dominant_frequency,0.0
numerical__Relaxed_RightWrist_gyro_x_spectral_centroid,0.0
numerical__Relaxed_RightWrist_gyro_magnitude_spectral_entropy,0.0
numerical__Relaxed_RightWrist_gyro_magnitude_spectral_centroid,0.0
numerical__StretchHold_Left_AccX_Std,0.0
numerical__LiftHold_Left_AccX_Std,0.0
numerical__HoldWeight_Left_AccX_Std,0.0
numerical__TouchNose_LeftWrist_gyro_magnitude_spectral_centroid,0.0
numerical__TouchNose_LeftWrist_gyro_magnitude_dominant_frequency,0.0
numerical__TouchNose_LeftWrist_acc_y_spectral_centroid,0.0
numerical__TouchNose_LeftWrist_acc_x_spectral_entropy,0.0
numerical__TouchNose_LeftWrist_acc_x_spectral_centroid,0.0
numerical__TouchIndex_RightWrist_gyro_z_spectral_entropy,0.0
numerical__PointFinger_Left_GyroY_Energy,0.0
numerical__HoldWeight_Right_GyroY_Energy,0.0
numerical__TouchIndex_RightWrist_acc_y_spectral_entropy,0.0
numerical__TouchIndex_RightWrist_acc_x_spectral_entropy,0.0
numerical__TouchIndex_LeftWrist_gyro_y_spectral_entropy,0.0
numerical__TouchIndex_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__TouchIndex_LeftWrist_acc_magnitude_spectral_centroid,0.0
numerical__StretchHold_RightWrist_gyro_x_spectral_entropy,0.0
numerical__Q03,0.0
