Feature,Mean |SHAP|
numerical__HoldWeight_Left_GyroX_Max,0.0
numerical__HoldWeight_Right_GyroX_Max,0.0
numerical__HoldWeight_Left_GyroX_Range,0.0
numerical__HoldWeight_Right_GyroX_Range,0.0
numerical__LiftHold_Left_GyroX_Range,0.0
numerical__DrinkGlas_Left_GyroX_RMS,0.0
numerical__HoldWeight_Left_GyroX_RMS,0.0
numerical__DrinkGlas_RightWrist_gyro_x_dominant_frequency,0.0
numerical__Entrainment_RightWrist_acc_y_spectral_entropy,0.0
numerical__HoldWeight_LeftWrist_acc_magnitude_spectral_centroid,0.0
numerical__DrinkGlas_Right_GyroZ_Energy,0.0
numerical__DrinkGlas_Right_GyroZ_Min,0.0
numerical__CrossArms_Left_GyroMag_Median,0.0
numerical__StretchHold_Left_GyroMag_Mean,0.0
numerical__DrinkGlas_Left_GyroMag_Mean,0.0
numerical__StretchHold_Left_AccMag_RMS,0.0
numerical__Relaxed_RightWrist_gyro_x_spectral_centroid,0.0
numerical__StretchHold_LeftWrist_acc_x_spectral_entropy,0.0
numerical__StretchHold_LeftWrist_acc_x_spectral_centroid,0.0
numerical__DrinkGlas_Left_GyroMag_Median,0.0
numerical__LiftHold_Left_AccZ_RMS,0.0
